periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 2, Pondok Ranggon ,Bakteri Koli,(Jlm/100mL),1600,1.81
Periode 2, Setu ,Zat Padat Terlarut,(mg/L),356,2.29
Periode 2, Setu ,Kekeruhan,NTU,0.37,2.29
Periode 2, Setu ,Besi (Fe),(mg/L),0.08,2.29
Periode 2, Setu ,Fluorida,(mg/L),0.17,2.29
Periode 2, Setu ,Total Hardness,(mg/L),102.04,2.29
Periode 2, Setu ,Chlorida,(mg/L),50.59,2.29
Periode 2, Setu ,Mangan (Mn),(mg/L),0.35,2.29
Periode 2, Setu ,Nitrat,(mg/L),1.75,2.29
Periode 2, Setu ,Nitrit,(mg/L),0.009,2.29
Periode 2, Setu ,Ph,(mg/L),7,2.29
Periode 2, Setu ,Seng (Zn),(mg/L),0.01,2.29
Periode 2, Setu ,Sulfat,(mg/L),55.85,2.29
Periode 2, Setu ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.29
Periode 2, Setu ,Organik (KMnO4),(mg/L),6.04,2.29
Periode 2, Setu ,Suhu,(Celcius),23.7,2.29
Periode 2, Setu ,Bakteri Koli,(Jlm/100mL),1900,2.29
Periode 2, Cideng ,Zat Padat Terlarut,(mg/L),431,4.57
Periode 2, Cideng ,Kekeruhan,NTU,7.73,4.57
Periode 2, Cideng ,Besi (Fe),(mg/L),0.24,4.57
Periode 2, Cideng ,Fluorida,(mg/L),0.05,4.57
Periode 2, Cideng ,Total Hardness,(mg/L),144.9,4.57
Periode 2, Cideng ,Chlorida,(mg/L),63.24,4.57
Periode 2, Cideng ,Mangan (Mn),(mg/L),1.19,4.57
Periode 2, Cideng ,Nitrat,(mg/L),0,4.57
Periode 2, Cideng ,Nitrit,(mg/L),0.003,4.57
Periode 2, Cideng ,Ph,(mg/L),7.1,4.57
Periode 2, Cideng ,Seng (Zn),(mg/L),0.01,4.57
Periode 2, Cideng ,Sulfat,(mg/L),36.14,4.57
Periode 2, Cideng ,Senyawa Aktif Biru Metilen,(mg/L),0.06,4.57
Periode 2, Cideng ,Organik (KMnO4),(mg/L),11.78,4.57
Periode 2, Cideng ,Suhu,(Celcius),23.6,4.57
Periode 2, Cideng ,Bakteri Koli,(Jlm/100mL),1.86 x 104,4.57
Periode 2, Duri Pulo ,Zat Padat Terlarut,(mg/L),285,2.19
Periode 2, Duri Pulo ,Kekeruhan,NTU,0.25,2.19
Periode 2, Duri Pulo ,Besi (Fe),(mg/L),0.08,2.19
Periode 2, Duri Pulo ,Fluorida,(mg/L),0.05,2.19
Periode 2, Duri Pulo ,Total Hardness,(mg/L),128.57,2.19
Periode 2, Duri Pulo ,Chlorida,(mg/L),26.31,2.19
Periode 2, Duri Pulo ,Mangan (Mn),(mg/L),0.47,2.19
Periode 2, Duri Pulo ,Nitrat,(mg/L),3.39,2.19
Periode 2, Duri Pulo ,Nitrit,(mg/L),0.003,2.19
Periode 2, Duri Pulo ,Ph,(mg/L),7.4,2.19
Periode 2, Duri Pulo ,Seng (Zn),(mg/L),0.01,2.19
Periode 2, Duri Pulo ,Sulfat,(mg/L),49.75,2.19
Periode 2, Duri Pulo ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.19
Periode 2, Duri Pulo ,Organik (KMnO4),(mg/L),3.7,2.19
Periode 2, Duri Pulo ,Suhu,(Celcius),23.8,2.19
Periode 2, Duri Pulo ,Bakteri Koli,(Jlm/100mL),0,2.19
Periode 2, Kebon Pala ,Zat Padat Terlarut,(mg/L),548,2.35
Periode 2, Kebon Pala ,Kekeruhan,NTU,0.02,2.35
Periode 2, Kebon Pala ,Besi (Fe),(mg/L),0.08,2.35
Periode 2, Kebon Pala ,Fluorida,(mg/L),0.85,2.35
Periode 2, Kebon Pala ,Total Hardness,(mg/L),162.11,2.35
Periode 2, Kebon Pala ,Chlorida,(mg/L),78.04,2.35
Periode 2, Kebon Pala ,Mangan (Mn),(mg/L),1.18,2.35
Periode 2, Kebon Pala ,Nitrat,(mg/L),0.37,2.35
Periode 2, Kebon Pala ,Nitrit,(mg/L),0.008,2.35
Periode 2, Kebon Pala ,Ph,(mg/L),8.3,2.35
Periode 2, Kebon Pala ,Seng (Zn),(mg/L),0.01,2.35
Periode 2, Kebon Pala ,Sulfat,(mg/L),111.15,2.35
Periode 2, Kebon Pala ,Senyawa Aktif Biru Metilen,(mg/L),0.06,2.35
Periode 2, Kebon Pala ,Organik (KMnO4),(mg/L),3.54,2.35
Periode 2, Kebon Pala ,Suhu,(Celcius),23.1,2.35
Periode 2, Kebon Pala ,Bakteri Koli,(Jlm/100mL),8.6 x 103,2.35
Periode 2, Petojo Utara ,Zat Padat Terlarut,(mg/L),216,1.32
Periode 2, Petojo Utara ,Kekeruhan,NTU,0.02,1.32
Periode 2, Petojo Utara ,Besi (Fe),(mg/L),0.08,1.32
Periode 2, Petojo Utara ,Fluorida,(mg/L),0.05,1.32
Periode 2, Petojo Utara ,Total Hardness,(mg/L),77.55,1.32
Periode 2, Petojo Utara ,Chlorida,(mg/L),29.85,1.32
Periode 2, Petojo Utara ,Mangan (Mn),(mg/L),0.05,1.32
Periode 2, Petojo Utara ,Nitrat,(mg/L),2.12,1.32
Periode 2, Petojo Utara ,Nitrit,(mg/L),0.003,1.32
Periode 2, Petojo Utara ,Ph,(mg/L),7.1,1.32
Periode 2, Petojo Utara ,Seng (Zn),(mg/L),0.13,1.32
Periode 2, Petojo Utara ,Sulfat,(mg/L),7.67,1.32
Periode 2, Petojo Utara ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.32
Periode 2, Petojo Utara ,Organik (KMnO4),(mg/L),4.37,1.32
Periode 2, Petojo Utara ,Suhu,(Celcius),23.7,1.32
Periode 2, Petojo Utara ,Bakteri Koli,(Jlm/100mL),100,1.32
Periode 2, Gambir ,Zat Padat Terlarut,(mg/L),212,1.84
Periode 2, Gambir ,Kekeruhan,NTU,0.01,1.84
Periode 2, Gambir ,Besi (Fe),(mg/L),0.08,1.84
Periode 2, Gambir ,Fluorida,(mg/L),0.17,1.84
Periode 2, Gambir ,Total Hardness,(mg/L),73.47,1.84
Periode 2, Gambir ,Chlorida,(mg/L),26.81,1.84
Periode 2, Gambir ,Mangan (Mn),(mg/L),0.27,1.84
Periode 2, Gambir ,Nitrat,(mg/L),3.09,1.84
Periode 2, Gambir ,Nitrit,(mg/L),0.009,1.84
Periode 2, Gambir ,Ph,(mg/L),6.7,1.84
Periode 2, Gambir ,Seng (Zn),(mg/L),0.01,1.84
Periode 2, Gambir ,Sulfat,(mg/L),9.75,1.84
Periode 2, Gambir ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.84
Periode 2, Gambir ,Organik (KMnO4),(mg/L),4.97,1.84
Periode 2, Gambir ,Suhu,(Celcius),23.7,1.84
Periode 2, Gambir ,Bakteri Koli,(Jlm/100mL),0,1.84
Periode 2, Petojo Selatan ,Zat Padat Terlarut,(mg/L),219,0.79
Periode 2, Petojo Selatan ,Kekeruhan,NTU,0.65,0.79
Periode 2, Petojo Selatan ,Besi (Fe),(mg/L),0.08,0.79
Periode 2, Petojo Selatan ,Fluorida,(mg/L),0.05,0.79
Periode 2, Petojo Selatan ,Total Hardness,(mg/L),77.55,0.79
Periode 2, Petojo Selatan ,Chlorida,(mg/L),30.35,0.79
Periode 2, Petojo Selatan ,Mangan (Mn),(mg/L),0.05,0.79
Periode 2, Petojo Selatan ,Nitrat,(mg/L),3.61,0.79
Periode 2, Petojo Selatan ,Nitrit,(mg/L),0.003,0.79
Periode 2, Petojo Selatan ,Ph,(mg/L),7,0.79
Periode 2, Petojo Selatan ,Seng (Zn),(mg/L),0.01,0.79
Periode 2, Petojo Selatan ,Sulfat,(mg/L),35.44,0.79
Periode 2, Petojo Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.79
Periode 2, Petojo Selatan ,Organik (KMnO4),(mg/L),1,0.79
Periode 2, Petojo Selatan ,Suhu,(Celcius),23.8,0.79
Periode 2, Petojo Selatan ,Bakteri Koli,(Jlm/100mL),1900,0.79
Periode 2, Gunung Sahari ,Zat Padat Terlarut,(mg/L),186,1.07
Periode 2, Gunung Sahari ,Kekeruhan,NTU,2,1.07
Periode 2, Gunung Sahari ,Besi (Fe),(mg/L),0.08,1.07
Periode 2, Gunung Sahari ,Fluorida,(mg/L),0.12,1.07
Periode 2, Gunung Sahari ,Total Hardness,(mg/L),34.3,1.07
Periode 2, Gunung Sahari ,Chlorida,(mg/L),42.45,1.07
Periode 2, Gunung Sahari ,Mangan (Mn),(mg/L),0.05,1.07
Periode 2, Gunung Sahari ,Nitrat,(mg/L),1.22,1.07
Periode 2, Gunung Sahari ,Nitrit,(mg/L),0.011,1.07
Periode 2, Gunung Sahari ,Ph,(mg/L),7.8,1.07
Periode 2, Gunung Sahari ,Seng (Zn),(mg/L),0.05,1.07
Periode 2, Gunung Sahari ,Sulfat,(mg/L),20.83,1.07
Periode 2, Gunung Sahari ,Senyawa Aktif Biru Metilen,(mg/L),0.21,1.07
Periode 2, Gunung Sahari ,Organik (KMnO4),(mg/L),3.22,1.07
Periode 2, Gunung Sahari ,Suhu,(Celcius),23.9,1.07
Periode 2, Gunung Sahari ,Bakteri Koli,(Jlm/100mL),0,1.07
Periode 2, Karang anyar ,Zat Padat Terlarut,(mg/L),1025,2.76
Periode 2, Karang anyar ,Kekeruhan,NTU,0.3,2.76
Periode 2, Karang anyar ,Besi (Fe),(mg/L),0.08,2.76
Periode 2, Karang anyar ,Fluorida,(mg/L),0.74,2.76
Periode 2, Karang anyar ,Total Hardness,(mg/L),168.3,2.76
Periode 2, Karang anyar ,Chlorida,(mg/L),138.68,2.76
Periode 2, Karang anyar ,Mangan (Mn),(mg/L),0.05,2.76
Periode 2, Karang anyar ,Nitrat,(mg/L),2.43,2.76
Periode 2, Karang anyar ,Nitrit,(mg/L),0.125,2.76
Periode 2, Karang anyar ,Ph,(mg/L),8.3,2.76
Periode 2, Karang anyar ,Seng (Zn),(mg/L),0.01,2.76
Periode 2, Karang anyar ,Sulfat,(mg/L),87.85,2.76
Periode 2, Karang anyar ,Senyawa Aktif Biru Metilen,(mg/L),0.07,2.76
Periode 2, Karang anyar ,Organik (KMnO4),(mg/L),3.89,2.76
Periode 2, Karang anyar ,Suhu,(Celcius),23.6,2.76
Periode 2, Karang anyar ,Bakteri Koli,(Jlm/100mL),4900,2.76
Periode 2, Kartini ,Zat Padat Terlarut,(mg/L),2270,23.0
Periode 2, Kartini ,Kekeruhan,NTU,16.6,23.0
Periode 2, Kartini ,Besi (Fe),(mg/L),0.08,23.0
Periode 2, Kartini ,Fluorida,(mg/L),0.71,23.0
Periode 2, Kartini ,Total Hardness,(mg/L),94.52,23.0
Periode 2, Kartini ,Chlorida,(mg/L),602.44,23.0
Periode 2, Kartini ,Mangan (Mn),(mg/L),13.56,23.0
Periode 2, Kartini ,Nitrat,(mg/L),0.34,23.0
Periode 2, Kartini ,Nitrit,(mg/L),0.003,23.0
Periode 2, Kartini ,Ph,(mg/L),7.8,23.0
Periode 2, Kartini ,Seng (Zn),(mg/L),0.02,23.0
Periode 2, Kartini ,Sulfat,(mg/L),137.86,23.0
Periode 2, Kartini ,Senyawa Aktif Biru Metilen,(mg/L),0.11,23.0
Periode 2, Kartini ,Organik (KMnO4),(mg/L),5.51,23.0
Periode 2, Kartini ,Suhu,(Celcius),23.7,23.0
Periode 2, Kartini ,Bakteri Koli,(Jlm/100mL),0,23.0
Periode 2, Kelurahan Pasar Baru ,Zat Padat Terlarut,(mg/L),1610,3.43
Periode 2, Kelurahan Pasar Baru ,Kekeruhan,NTU,0.3,3.43
Periode 2, Kelurahan Pasar Baru ,Besi (Fe),(mg/L),0.08,3.43
Periode 2, Kelurahan Pasar Baru ,Fluorida,(mg/L),0.73,3.43
Periode 2, Kelurahan Pasar Baru ,Total Hardness,(mg/L),221.93,3.43
Periode 2, Kelurahan Pasar Baru ,Chlorida,(mg/L),656.12,3.43
Periode 2, Kelurahan Pasar Baru ,Mangan (Mn),(mg/L),0.07,3.43
Periode 2, Kelurahan Pasar Baru ,Nitrat,(mg/L),1.02,3.43
Periode 2, Kelurahan Pasar Baru ,Nitrit,(mg/L),0.079,3.43
Periode 2, Kelurahan Pasar Baru ,Ph,(mg/L),7.9,3.43
Periode 2, Kelurahan Pasar Baru ,Seng (Zn),(mg/L),0.01,3.43
Periode 2, Kelurahan Pasar Baru ,Sulfat,(mg/L),134.21,3.43
Periode 2, Kelurahan Pasar Baru ,Senyawa Aktif Biru Metilen,(mg/L),0.09,3.43
Periode 2, Kelurahan Pasar Baru ,Organik (KMnO4),(mg/L),4.97,3.43
Periode 2, Kelurahan Pasar Baru ,Suhu,(Celcius),23.6,3.43
Periode 2, Kelurahan Pasar Baru ,Bakteri Koli,(Jlm/100mL),400,3.43
Periode 2, Mangga Dua Selatan ,Zat Padat Terlarut,(mg/L),500,1.57
Periode 2, Mangga Dua Selatan ,Kekeruhan,NTU,1.7,1.57
Periode 2, Mangga Dua Selatan ,Besi (Fe),(mg/L),0.08,1.57
Periode 2, Mangga Dua Selatan ,Fluorida,(mg/L),0.2,1.57
Periode 2, Mangga Dua Selatan ,Total Hardness,(mg/L),67.35,1.57
Periode 2, Mangga Dua Selatan ,Chlorida,(mg/L),59.04,1.57
Periode 2, Mangga Dua Selatan ,Mangan (Mn),(mg/L),0.05,1.57
Periode 2, Mangga Dua Selatan ,Nitrat,(mg/L),0.24,1.57
Periode 2, Mangga Dua Selatan ,Nitrit,(mg/L),0.006,1.57
Periode 2, Mangga Dua Selatan ,Ph,(mg/L),8.5,1.57
Periode 2, Mangga Dua Selatan ,Seng (Zn),(mg/L),0.01,1.57
Periode 2, Mangga Dua Selatan ,Sulfat,(mg/L),73.11,1.57
Periode 2, Mangga Dua Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.57
Periode 2, Mangga Dua Selatan ,Organik (KMnO4),(mg/L),4.17,1.57
Periode 2, Mangga Dua Selatan ,Suhu,(Celcius),24.5,1.57
Periode 2, Mangga Dua Selatan ,Bakteri Koli,(Jlm/100mL),0,1.57
Periode 2, Cempaka Baru ,Zat Padat Terlarut,(mg/L),266,2.19
Periode 2, Cempaka Baru ,Kekeruhan,NTU,0.76,2.19
Periode 2, Cempaka Baru ,Besi (Fe),(mg/L),0.08,2.19
Periode 2, Cempaka Baru ,Fluorida,(mg/L),0.14,2.19
Periode 2, Cempaka Baru ,Total Hardness,(mg/L),85.71,2.19
Periode 2, Cempaka Baru ,Chlorida,(mg/L),24.79,2.19
Periode 2, Cempaka Baru ,Mangan (Mn),(mg/L),0.05,2.19
Periode 2, Cempaka Baru ,Nitrat,(mg/L),2.33,2.19
Periode 2, Cempaka Baru ,Nitrit,(mg/L),0.003,2.19
Periode 2, Cempaka Baru ,Ph,(mg/L),7.4,2.19
Periode 2, Cempaka Baru ,Seng (Zn),(mg/L),0.01,2.19
Periode 2, Cempaka Baru ,Sulfat,(mg/L),30.89,2.19
Periode 2, Cempaka Baru ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.19
Periode 2, Cempaka Baru ,Organik (KMnO4),(mg/L),9.24,2.19
Periode 2, Cempaka Baru ,Suhu,(Celcius),23.7,2.19
Periode 2, Cempaka Baru ,Bakteri Koli,(Jlm/100mL),400,2.19
Periode 2, Gunung Sehari Selatan ,Zat Padat Terlarut,(mg/L),281,1.82
Periode 2, Gunung Sehari Selatan ,Kekeruhan,NTU,0.01,1.82
Periode 2, Gunung Sehari Selatan ,Besi (Fe),(mg/L),0.08,1.82
Periode 2, Gunung Sehari Selatan ,Fluorida,(mg/L),0.05,1.82
Periode 2, Gunung Sehari Selatan ,Total Hardness,(mg/L),108.16,1.82
Periode 2, Gunung Sehari Selatan ,Chlorida,(mg/L),45.53,1.82
Periode 2, Gunung Sehari Selatan ,Mangan (Mn),(mg/L),0.2,1.82
Periode 2, Gunung Sehari Selatan ,Nitrat,(mg/L),2.61,1.82
Periode 2, Gunung Sehari Selatan ,Nitrit,(mg/L),0.003,1.82
Periode 2, Gunung Sehari Selatan ,Ph,(mg/L),6.8,1.82
Periode 2, Gunung Sehari Selatan ,Seng (Zn),(mg/L),0.01,1.82
Periode 2, Gunung Sehari Selatan ,Sulfat,(mg/L),21.06,1.82
Periode 2, Gunung Sehari Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.82
Periode 2, Gunung Sehari Selatan ,Organik (KMnO4),(mg/L),5.01,1.82
Periode 2, Gunung Sehari Selatan ,Suhu,(Celcius),23.7,1.82
Periode 2, Gunung Sehari Selatan ,Bakteri Koli,(Jlm/100mL),0,1.82
Periode 2, Kebon Kosong ,Zat Padat Terlarut,(mg/L),335,5.77
Periode 2, Kebon Kosong ,Kekeruhan,NTU,44.17,5.77
Periode 2, Kebon Kosong ,Besi (Fe),(mg/L),0.4,5.77
Periode 2, Kebon Kosong ,Fluorida,(mg/L),0.05,5.77
Periode 2, Kebon Kosong ,Total Hardness,(mg/L),112.24,5.77
Periode 2, Kebon Kosong ,Chlorida,(mg/L),41.49,5.77
Periode 2, Kebon Kosong ,Mangan (Mn),(mg/L),0.58,5.77
Periode 2, Kebon Kosong ,Nitrat,(mg/L),1.26,5.77
Periode 2, Kebon Kosong ,Nitrit,(mg/L),0.003,5.77
Periode 2, Kebon Kosong ,Ph,(mg/L),7.1,5.77
Periode 2, Kebon Kosong ,Seng (Zn),(mg/L),0.14,5.77
Periode 2, Kebon Kosong ,Sulfat,(mg/L),27.44,5.77
Periode 2, Kebon Kosong ,Senyawa Aktif Biru Metilen,(mg/L),0.2,5.77
Periode 2, Kebon Kosong ,Organik (KMnO4),(mg/L),18.82,5.77
Periode 2, Kebon Kosong ,Suhu,(Celcius),23.6,5.77
Periode 2, Kebon Kosong ,Bakteri Koli,(Jlm/100mL),100,5.77
Periode 2, Kemayoran ,Zat Padat Terlarut,(mg/L),302,2.13
Periode 2, Kemayoran ,Kekeruhan,NTU,0.17,2.13
Periode 2, Kemayoran ,Besi (Fe),(mg/L),0.08,2.13
Periode 2, Kemayoran ,Fluorida,(mg/L),0.05,2.13
Periode 2, Kemayoran ,Total Hardness,(mg/L),143.47,2.13
Periode 2, Kemayoran ,Chlorida,(mg/L),39.36,2.13
Periode 2, Kemayoran ,Mangan (Mn),(mg/L),0.05,2.13
Periode 2, Kemayoran ,Nitrat,(mg/L),1.98,2.13
Periode 2, Kemayoran ,Nitrit,(mg/L),0.003,2.13
Periode 2, Kemayoran ,Ph,(mg/L),7.9,2.13
Periode 2, Kemayoran ,Seng (Zn),(mg/L),0.07,2.13
Periode 2, Kemayoran ,Sulfat,(mg/L),63.92,2.13
Periode 2, Kemayoran ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.13
Periode 2, Kemayoran ,Organik (KMnO4),(mg/L),9.11,2.13
Periode 2, Kemayoran ,Suhu,(Celcius),23.2,2.13
Periode 2, Kemayoran ,Bakteri Koli,(Jlm/100mL),1200,2.13
Periode 2, Serdang ,Zat Padat Terlarut,(mg/L),453,3.10
Periode 2, Serdang ,Kekeruhan,NTU,0.02,3.10
Periode 2, Serdang ,Besi (Fe),(mg/L),0.08,3.10
Periode 2, Serdang ,Fluorida,(mg/L),0.05,3.10
Periode 2, Serdang ,Total Hardness,(mg/L),216.73,3.10
Periode 2, Serdang ,Chlorida,(mg/L),70.84,3.10
Periode 2, Serdang ,Mangan (Mn),(mg/L),0.05,3.10
Periode 2, Serdang ,Nitrat,(mg/L),3.79,3.10
Periode 2, Serdang ,Nitrit,(mg/L),0.006,3.10
Periode 2, Serdang ,Ph,(mg/L),7.9,3.10
Periode 2, Serdang ,Seng (Zn),(mg/L),0.03,3.10
Periode 2, Serdang ,Sulfat,(mg/L),55.16,3.10
Periode 2, Serdang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,3.10
Periode 2, Serdang ,Organik (KMnO4),(mg/L),11.41,3.10
Periode 2, Serdang ,Suhu,(Celcius),23.1,3.10
Periode 2, Serdang ,Bakteri Koli,(Jlm/100mL),200,3.10
Periode 2, Sumur Batu ,Zat Padat Terlarut,(mg/L),330,2.68
Periode 2, Sumur Batu ,Kekeruhan,NTU,2.18,2.68
Periode 2, Sumur Batu ,Besi (Fe),(mg/L),0.24,2.68
Periode 2, Sumur Batu ,Fluorida,(mg/L),0.05,2.68
Periode 2, Sumur Batu ,Total Hardness,(mg/L),155.1,2.68
Periode 2, Sumur Batu ,Chlorida,(mg/L),41.92,2.68
Periode 2, Sumur Batu ,Mangan (Mn),(mg/L),0.29,2.68
Periode 2, Sumur Batu ,Nitrat,(mg/L),0,2.68
Periode 2, Sumur Batu ,Nitrit,(mg/L),0.003,2.68
Periode 2, Sumur Batu ,Ph,(mg/L),7.7,2.68
Periode 2, Sumur Batu ,Seng (Zn),(mg/L),0.04,2.68
Periode 2, Sumur Batu ,Sulfat,(mg/L),27.48,2.68
Periode 2, Sumur Batu ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.68
Periode 2, Sumur Batu ,Organik (KMnO4),(mg/L),8.98,2.68
Periode 2, Sumur Batu ,Suhu,(Celcius),23.1,2.68
Periode 2, Sumur Batu ,Bakteri Koli,(Jlm/100mL),0,2.68
Periode 2, utan panjang ,Zat Padat Terlarut,(mg/L),294,3.53
Periode 2, utan panjang ,Kekeruhan,NTU,3.4,3.53
Periode 2, utan panjang ,Besi (Fe),(mg/L),0.46,3.53
Periode 2, utan panjang ,Fluorida,(mg/L),0.05,3.53
Periode 2, utan panjang ,Total Hardness,(mg/L),104.08,3.53
Periode 2, utan panjang ,Chlorida,(mg/L),67.89,3.53
Periode 2, utan panjang ,Mangan (Mn),(mg/L),1.12,3.53
Periode 2, utan panjang ,Nitrat,(mg/L),0,3.53
Periode 2, utan panjang ,Nitrit,(mg/L),0.005,3.53
Periode 2, utan panjang ,Ph,(mg/L),8.5,3.53
Periode 2, utan panjang ,Seng (Zn),(mg/L),0.01,3.53
Periode 2, utan panjang ,Sulfat,(mg/L),25.08,3.53
Periode 2, utan panjang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,3.53
Periode 2, utan panjang ,Organik (KMnO4),(mg/L),6.87,3.53
Periode 2, utan panjang ,Suhu,(Celcius),24.5,3.53
Periode 2, utan panjang ,Bakteri Koli,(Jlm/100mL),0,3.53
Periode 2, Harapan Mulia ,Zat Padat Terlarut,(mg/L),431,2.10
Periode 2, Harapan Mulia ,Kekeruhan,NTU,0.7,2.10
Periode 2, Harapan Mulia ,Besi (Fe),(mg/L),0.1,2.10
Periode 2, Harapan Mulia ,Fluorida,(mg/L),0.16,2.10
Periode 2, Harapan Mulia ,Total Hardness,(mg/L),171.43,2.10
Periode 2, Harapan Mulia ,Chlorida,(mg/L),418.18,2.10
Periode 2, Harapan Mulia ,Mangan (Mn),(mg/L),0.05,2.10
Periode 2, Harapan Mulia ,Nitrat,(mg/L),0,2.10
Periode 2, Harapan Mulia ,Nitrit,(mg/L),0.006,2.10
Periode 2, Harapan Mulia ,Ph,(mg/L),8.4,2.10
Periode 2, Harapan Mulia ,Seng (Zn),(mg/L),0.01,2.10
Periode 2, Harapan Mulia ,Sulfat,(mg/L),184.11,2.10
Periode 2, Harapan Mulia ,Senyawa Aktif Biru Metilen,(mg/L),0.03,2.10
Periode 2, Harapan Mulia ,Organik (KMnO4),(mg/L),5.11,2.10
Periode 2, Harapan Mulia ,Suhu,(Celcius),24.5,2.10
Periode 2, Harapan Mulia ,Bakteri Koli,(Jlm/100mL),0,2.10
Periode 2, Kramat ,Zat Padat Terlarut,(mg/L),432,2.58
Periode 2, Kramat ,Kekeruhan,NTU,1.4,2.58
Periode 2, Kramat ,Besi (Fe),(mg/L),0.08,2.58
Periode 2, Kramat ,Fluorida,(mg/L),0.07,2.58
Periode 2, Kramat ,Total Hardness,(mg/L),122.45,2.58
Periode 2, Kramat ,Chlorida,(mg/L),59.04,2.58
Periode 2, Kramat ,Mangan (Mn),(mg/L),0.6,2.58
Periode 2, Kramat ,Nitrat,(mg/L),1.46,2.58
Periode 2, Kramat ,Nitrit,(mg/L),0.004,2.58
Periode 2, Kramat ,Ph,(mg/L),8.7,2.58
Periode 2, Kramat ,Seng (Zn),(mg/L),3.43,2.58
Periode 2, Kramat ,Sulfat,(mg/L),112.35,2.58
Periode 2, Kramat ,Senyawa Aktif Biru Metilen,(mg/L),0.06,2.58
Periode 2, Kramat ,Organik (KMnO4),(mg/L),4.4,2.58
Periode 2, Kramat ,Suhu,(Celcius),24,2.58
Periode 2, Kramat ,Bakteri Koli,(Jlm/100mL),0,2.58
Periode 2, Bunguri ,Zat Padat Terlarut,(mg/L),195,1.53
Periode 2, Bunguri ,Kekeruhan,NTU,0.01,1.53
Periode 2, Bunguri ,Besi (Fe),(mg/L),0.08,1.53
Periode 2, Bunguri ,Fluorida,(mg/L),0.05,1.53
Periode 2, Bunguri ,Total Hardness,(mg/L),67.35,1.53
Periode 2, Bunguri ,Chlorida,(mg/L),43.29,1.53
Periode 2, Bunguri ,Mangan (Mn),(mg/L),0.05,1.53
Periode 2, Bunguri ,Nitrat,(mg/L),3.52,1.53
Periode 2, Bunguri ,Nitrit,(mg/L),0.004,1.53
Periode 2, Bunguri ,Ph,(mg/L),8.2,1.53
Periode 2, Bunguri ,Seng (Zn),(mg/L),0.06,1.53
Periode 2, Bunguri ,Sulfat,(mg/L),22.92,1.53
Periode 2, Bunguri ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.53
Periode 2, Bunguri ,Organik (KMnO4),(mg/L),5.27,1.53
Periode 2, Bunguri ,Suhu,(Celcius),24.3,1.53
Periode 2, Bunguri ,Bakteri Koli,(Jlm/100mL),0,1.53
Periode 2, Kenari ,Zat Padat Terlarut,(mg/L),363,3.47
Periode 2, Kenari ,Kekeruhan,NTU,7.8,3.47
Periode 2, Kenari ,Besi (Fe),(mg/L),0.29,3.47
Periode 2, Kenari ,Fluorida,(mg/L),0.05,3.47
Periode 2, Kenari ,Total Hardness,(mg/L),151.02,3.47
Periode 2, Kenari ,Chlorida,(mg/L),50.18,3.47
Periode 2, Kenari ,Mangan (Mn),(mg/L),1.14,3.47
Periode 2, Kenari ,Nitrat,(mg/L),0.25,3.47
Periode 2, Kenari ,Nitrit,(mg/L),0.005,3.47
Periode 2, Kenari ,Ph,(mg/L),8.4,3.47
Periode 2, Kenari ,Seng (Zn),(mg/L),0.01,3.47
Periode 2, Kenari ,Sulfat,(mg/L),73.38,3.47
Periode 2, Kenari ,Senyawa Aktif Biru Metilen,(mg/L),0.06,3.47
Periode 2, Kenari ,Organik (KMnO4),(mg/L),3.84,3.47
Periode 2, Kenari ,Suhu,(Celcius),24.1,3.47
Periode 2, Kenari ,Bakteri Koli,(Jlm/100mL),0,3.47
Periode 2, Kwitang ,Zat Padat Terlarut,(mg/L),240,1.27
Periode 2, Kwitang ,Kekeruhan,NTU,0.01,1.27
Periode 2, Kwitang ,Besi (Fe),(mg/L),0.08,1.27
Periode 2, Kwitang ,Fluorida,(mg/L),0.05,1.27
Periode 2, Kwitang ,Total Hardness,(mg/L),91.84,1.27
Periode 2, Kwitang ,Chlorida,(mg/L),44.28,1.27
Periode 2, Kwitang ,Mangan (Mn),(mg/L),0.05,1.27
Periode 2, Kwitang ,Nitrat,(mg/L),1.74,1.27
Periode 2, Kwitang ,Nitrit,(mg/L),0.005,1.27
Periode 2, Kwitang ,Ph,(mg/L),8.5,1.27
Periode 2, Kwitang ,Seng (Zn),(mg/L),0.05,1.27
Periode 2, Kwitang ,Sulfat,(mg/L),36.44,1.27
Periode 2, Kwitang ,Senyawa Aktif Biru Metilen,(mg/L),0.12,1.27
Periode 2, Kwitang ,Organik (KMnO4),(mg/L),5.31,1.27
